Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-7.491383E-06,984.40,0,13.1, -,7.467911
0.05,-7.491383E-06,984.40,0,13.1, -,7.467911
0.10,-7.491383E-06,984.40,0,13.1, -,7.467911
0.15,-7.491383E-06,984.40,0,13.1, -,7.467911
0.20,-7.491383E-06,984.40,0,13.1, -,7.467911
0.25,-0.8515352,984.50,-0.8128,13.1, -,7.467911
0.30,-7.491383E-06,984.40,0,13.1, -,7.467911
0.35,-0.8515352,984.50,-0.8128,13.1, -,7.467911
0.40,-7.491383E-06,984.40,0,13.1, -,7.467911
0.45,-7.491383E-06,984.40,0,13.1, -,7.467911
0.50,2.556036,984.10,2.4384,13.1, -,7.467911
0.55,6.816817,983.60,6.5024,13.1, -,7.467911
0.60,11.93186,983.00,11.3792,13.1, -,7.467911
0.65,19.60969,982.10,18.6944,13.1, -,7.467911
0.70,33.27267,980.50,31.71371,13.1, -,7.467911
0.75,43.53201,979.30,41.48183,13.1, -,7.467911
0.80,54.65758,978.00,52.07726,13.1, -,7.467911
0.85,65.79512,976.70,62.6872,13.1, -,7.467911
0.90,83.81241,974.60,79.84309,13.1, -,7.467911
0.95,100.1403,972.70,95.38789,13.1, -,7.467911
1.00,116.4945,970.80,110.9617,13.1, -,7.467911
1.05,133.7373,968.80,127.3774,13.1, -,7.467911
1.10,157.0609,966.10,149.5842,13.1, -,7.467911
1.15,176.9707,963.80,168.5399,13.1, -,7.467911
1.20,199.5237,961.20,190.021,13.1, -,7.467911
1.25,222.1266,958.60,211.5457,13.1, -,7.467911
1.30,248.2684,955.60,237.2505,13.1, -,7.467911
1.35,271.8524,952.90,258.9058,13.1, -,7.467911
1.40,300.7518,949.60,287.2377,13.1, -,7.467911
1.45,327.9733,946.50,312.3474,13.1, -,7.467911
1.50,355.2671,943.40,338.3425,13.1, -,7.467911
1.55,380.8663,940.50,360.2881,13.1, -,7.467911
1.60,414.5065,936.70,388.2571,13.1, -,7.467911
1.65,424.2655,935.60,392.6695,13.1, -,7.467911
