# Spaceport America 30 MPH Case (Data loaded from a file)
# 3333 data points written for 54 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  &quot;Upper Body Tube, Middle Body tube&quot;
#   Discontinuity in rocket body diameter:  &quot;Middle Body tube, Booster Tube (CF)&quot;
#   Recovery device deployment at high speed (105 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-2.2752624672e-5,-0.0229658793,-0.353535611,0.0229658793,0.3554730718,-2.3914041995e-6,0,2.3914041995e-6,180.0233392301,0.0023910761,0.0371176702,33.0023689995,-107.0285161304,0.9984041441,84.0529085457,0,0,0,61.1165483229,17.8706709727,14.983,0.11,NaN,71.5354330709,NaN,0.042,2.023e6,173.307,0.002,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7165341885e-8,6.4173228346,210,83.9956127662,0,48.4186351706,39.75,836,1165.967847769,0.002,0.002
0.004,5.8858267717e-5,0.0590551181,0.9145834714,0.0590551181,0.9195800809,6.1843832021e-6,0,6.1843832021e-6,0,0.0065616798,0.0961592389,33.0023689995,-107.0285161304,0.9984041441,83.9383169867,0,0,0,61.1121390776,17.8684663501,14.982,0.11,NaN,71.5354330709,NaN,0.041,2.018e6,519.922,0.003,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2545925469e-7,6.4173228346,210,83.9956127662,0,48.2972440945,39.75,836,1165.967847769,0.002,0.004
0.006,3.1699475066e-4,0.2001312336,2.1828045255,0.2001312336,2.1948371768,3.3333333333e-5,0,3.3333333333e-5,0,0.0196850394,0.2294361479,33.0023689995,-107.0285161304,0.9984041441,83.7664296481,0,0,0,61.1077298324,17.8640571048,14.982,0.11,NaN,71.5354330709,NaN,0.041,2.014e6,866.536,0.003,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6356350028e-7,6.4173228346,210,83.9956127662,0,48.1758530184,39.75,836,1165.967847769,0.002,0.005
0.008,9.3766404199e-4,0.4199475066,3.4512295228,0.4232283465,3.470298216,9.8556430446e-5,0,9.8556430446e-5,0,0.0426509186,0.362713057,33.0023689995,-107.0285161304,0.9984041441,83.4799507506,0,0,0,61.1055252098,17.8596478596,14.981,0.11,NaN,71.5354330709,NaN,0.041,2.01e6,1213.151,0.003,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6142107651e-6,6.4173228346,210,83.9956127662,0,48.0544619423,39.75,836,1165.967847769,0.002,0.006
0.01,0.0020839895,0.7250656168,4.7198584634,0.7283464567,4.7458612268,2.1906167979e-4,0,2.1906167979e-4,0,0.0754593176,0.4960919376,33.0023689995,-107.0285161304,0.9984041441,83.1361760735,0,0,0,61.1011159645,17.8552386144,14.98,0.11,NaN,71.5354330709,NaN,0.041,2.006e6,1559.766,0.004,0.427,0.002,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7777069642e-6,6.4173228346,210,83.9956127662,0,47.9330708661,39.75,836,1165.967847769,0.002,0.007
0.012,0.0032808399,1.1089238845,5.9885893756,1.1154855643,6.0216281809,4.1207349081e-4,0,4.1207349081e-4,0,0.1181102362,0.6294708183,33.0023689995,-107.0285161304,0.9984041441,82.6778098374,0,0,0,61.0967067193,17.8530339917,14.979,0.11,NaN,71.5354330709,NaN,0.041,2.003e6,1906.38,0.004,0.427,0.002,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2542560405e-6,6.4173228346,210,83.9956127662,0,47.81167979,39.75,836,1165.967847769,0.002,0.008
0.014,0.0065616798,1.5780839895,7.257524231,1.5846456693,7.2974971066,6.9455380577e-4,0,6.9455380577e-4,0,0.1673228346,0.7627477273,33.0023689995,-107.0285161304,0.9984041441,82.1048520422,0,0,0,61.0922974741,17.8486247465,14.978,0.11,NaN,71.5354330709,NaN,0.041,2.001e6,2252.995,0.005,0.427,0.003,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0438579943e-6,6.4173228346,210,83.9956127662,0,47.6902887139,39.75,836,1165.967847769,0.002,0.009
0.016,0.0098425197,2.125984252,8.5265610581,2.1391076115,8.5735699755,0.0010836614,0,0.0010836614,0,0.2230971129,0.8962285796,33.0023689995,-107.0285161304,0.9984041441,81.4745984676,0,0,0,61.0900928514,17.8442155012,14.977,0.11,NaN,71.5354330709,NaN,0.041,1.999e6,2599.609,0.007,0.428,0.003,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1454931093e-6,6.4173228346,210,83.9956127662,0,47.5688976378,39.75,836,1165.967847769,0.002,0.011
0.018,0.0164041995,2.7559055118,9.7958018284,2.7723097113,9.849744816,0.0015967848,0,0.0015967848,0,0.2887139108,1.0296074602,33.0023689995,-107.0285161304,0.9984041441,80.6724575544,0,0,0,61.0856836062,17.839806256,14.976,0.11,NaN,71.5354330709,NaN,0.041,1.998e6,2946.224,0.009,0.428,0.004,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0564259966e-5,6.4173228346,210,83.9956127662,0,47.4475065617,39.75,836,1165.967847769,0.002,0.012
0.02,0.0229658793,3.467847769,11.0651445703,3.4875328084,11.1261235998,0.0022509843,0,0.0022509843,0,0.3641732283,1.1629863409,33.0023689995,-107.0285161304,0.9984041441,79.8130208617,0,0,0,61.0812743609,17.8376016334,14.975,0.11,NaN,71.5354330709,NaN,0.041,1.998e6,3292.838,0.011,0.428,0.005,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3286902255e-5,6.4173228346,210,83.9956127662,0,47.3261154856,39.75,836,1165.967847769,0.002,0.013
