# Spaceport America 0 MPH Case (Up to date)
# 1050 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.0010199443,0.2040040493,20.4049581232,0.2045022064,20.4547849512,7.1321455923e-5,0,7.1321455923e-5,0,0.0142653528,1.4268536694,0.5759586532,1.8675022996,9.791356747,0,0,0,0,28.6720802614,8.0993182458,16.9087121687,0.1190017209,NaN,72.2648985858,NaN,6.1068751132e-4,3.5983991112e4,866.5364285714,3.9142525667e-4,0.8991598078,0.8991598078,0.8182258565,0.0104994796,0.0704344717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5039063157e-5,6.2,194.7783549651,1.5009831567,0,0,5.8963793699,856.137892645,334.8721058981,0.01,0.0186175
0.02,0.0070955552,1.0111633893,80.7294987967,1.0136325473,80.9266320049,4.9616955072e-4,0,4.9616955072e-4,0,0.0707074322,5.6451564806,0.5759586532,1.8675022997,9.7913567439,0,0,0,0,28.6633985073,8.0906364917,16.9038262577,0.1189912985,NaN,72.2562917036,NaN,0.0030269249,1.7835762745e5,2599.6092857143,0.0065858156,0.6157901343,0.6157901343,0.5348322592,0.0105227327,0.0704351424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2410824927e-4,6.2,194.7783549651,1.5009831567,0,0,5.8963398774,856.1372463581,334.8720819657,0.01,0.0213512
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.0229688403,2.1636080296,115.279921777,2.1688913399,115.5614235968,0.0016061378,0,0.0016061378,0,0.1512942118,8.061157411,0.5759586532,1.8675022999,9.7913567252,0,0,0,0,28.6475028214,8.0747408059,16.894873389,0.1189722157,NaN,72.2405195833,NaN,0.0064767598,3.816341097e5,3590.3878732143,0.0259664216,0.5303026846,0.5303026846,0.4493239754,0.0105410651,0.0704376441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6555636548e-4,6.2,194.7783549651,1.5009831567,0,0,5.896236699,856.1355578619,334.8720194396,0.01,0.0237474
0.04,0.0502123613,3.2852128904,112.1954754084,3.2932350455,112.4694453245,0.0035111903,0,0.0035111903,0,0.229724464,7.8454719098,0.5759586532,1.8675023003,9.7913566765,0,0,0,0,28.6308055876,8.058043572,16.8854591536,0.1189521707,NaN,72.2239332857,NaN,0.0098343129,5.7947178952e5,3499.7995,0.0555224618,0.4918236953,0.4918236953,0.4108270682,0.0105548041,0.0704418229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0322068859e-4,6.2,194.7783549651,1.5009831567,0,0,5.8960596159,856.1326599278,334.8719121272,0.01,0.0260385
0.05,0.0885024,4.372907264,108.8030326989,4.3835854578,109.0687186157,0.0061886907,0,0.0061886907,0,0.3057834639,7.6082492064,0.5759586532,1.8675023008,9.7913565927,0,0,0,0,28.6141891144,8.0414270988,16.8760803514,0.1189322226,NaN,72.2074079952,NaN,0.0130903427,7.7132556197e5,3400.4979826613,0.0936615376,0.4682632745,0.4682632745,0.3872491135,0.0105666424,0.0704475185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.367222585e-4,6.2,194.7783549651,1.5009831567,0,0,5.8958107307,856.1285869673,334.8717613028,0.01,0.0272564
0.06,0.1375923478,5.4451878616,107.2597093763,5.4584844554,107.5216266548,0.0096213942,0,0.0096213942,0,0.3807646276,7.5003295267,0.5759586532,1.8675023014,9.7913564751,0,0,0,0,28.5982994862,8.0255374706,16.8671023593,0.1189131471,NaN,72.1915875994,NaN,0.0163002329,9.604582834e5,3354.4124193548,0.1400421374,0.4515487168,0.4515487168,0.3705163162,0.0105776835,0.0704547171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6833183569e-4,6.2,194.7783549651,1.5009831567,0,0,5.8954916463,856.1233652079,334.8715679377,0.01,0.0284011
0.07,0.1973915951,6.5147664962,106.9893111141,6.530674892,107.2505681076,0.013802965,0,0.013802965,0,0.4555568516,7.4814214382,0.5759586532,1.8675023022,9.7913563242,0,0,0,0,28.5824098579,8.0096478424,16.8581151212,0.1188940716,NaN,72.1757496137,NaN,0.0195020426,1.1491119655e6,3344.8564516129,0.1947456863,0.4386765103,0.4386765103,0.3576245832,0.0105884632,0.070463464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.996098477e-4,6.2,194.7783549651,1.5009831567,0,0,5.8951029512,856.1170042824,334.8713323884,0.01,0.0296615
0.08,0.267873093,7.5816373039,106.7183303421,7.6001508894,106.9789256281,0.0187315114,0,0.0187315114,0,0.530159726,7.4624726168,0.5759586532,1.8675023031,9.7913561404,0,0,0,0,28.5665202297,7.9937582142,16.8491186216,0.1188749961,NaN,72.1598940088,NaN,0.0226957537,1.337284985e6,3335.300483871,0.2575189444,0.4283122628,0.4283122628,0.347239307,0.0105992085,0.0704737473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3055550634e-4,6.2,194.7783549651,1.5009831567,0,0,5.8946448215,856.1095070717,334.8710547618,0.01,0.0306283
0.09,0.3490097341,8.6457944918,106.4467735928,8.6669066408,106.7067057649,0.024405138,0,0.024405138,0,0.6045728455,7.443483519,0.5759586532,1.8675023042,9.7913559239,0,0,0,0,28.5506306015,7.9778685859,16.8401128451,0.1188559206,NaN,72.1440207553,NaN,0.0258813501,1.524975834e6,3325.744516129,0.3281471053,0.4197006619,0.4197006619,0.338605043,0.0106100639,0.0704855551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010611681,6.2,194.7783549651,1.5009831567,0,0,5.8941174334,856.1008764591,334.8707351646,0.01,0.0315857
